No.,Time,Absolute_Time,Source,Destination,Protocol,Length,Info
34,0.511615,2024-08-15 00:09:00.511,10.8.15.133,10.8.15.4,TCP,66,49667  >  389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
35,0.511756,2024-08-15 00:09:00.511,10.8.15.4,10.8.15.133,TCP,66,"389  >  49667 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
36,0.511849,2024-08-15 00:09:00.511,10.8.15.133,10.8.15.4,TCP,54,49667  >  389 [ACK] Seq=1 Ack=1 Win=262656 Len=0
37,0.512013,2024-08-15 00:09:00.512,10.8.15.133,10.8.15.4,LDAP,404,"searchRequest(2) ""<ROOT>"" baseObject "
38,0.512296,2024-08-15 00:09:00.512,10.8.15.4,10.8.15.133,TCP,1514,389  >  49667 [ACK] Seq=1 Ack=351 Win=2097664 Len=1460 [TCP PDU reassembled in 39]
39,0.512299,2024-08-15 00:09:00.512,10.8.15.4,10.8.15.133,LDAP,1435,"searchResEntry(2) ""<ROOT>""  | searchResDone(2) success  [1 result]"
40,0.512422,2024-08-15 00:09:00.512,10.8.15.133,10.8.15.4,TCP,54,49667  >  389 [ACK] Seq=351 Ack=2842 Win=262656 Len=0
41,0.531446,2024-08-15 00:09:00.531,10.8.15.133,10.8.15.4,CLDAP,272,"searchRequest(4) ""<ROOT>"" baseObject "
42,0.531813,2024-08-15 00:09:00.531,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(4) ""<ROOT>"" searchResDone(4) success  [1 result]"
43,0.557871,2024-08-15 00:09:00.557,10.8.15.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
44,0.562469,2024-08-15 00:09:00.562,10.8.15.133,10.8.15.4,CLDAP,272,"searchRequest(1) ""<ROOT>"" baseObject "
45,0.562835,2024-08-15 00:09:00.562,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(1) ""<ROOT>"" searchResDone(1) success  [1 result]"
46,0.780795,2024-08-15 00:09:00.780,10.8.15.133,10.8.15.4,TCP,66,49670  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
47,0.781036,2024-08-15 00:09:00.781,10.8.15.4,10.8.15.133,TCP,66,"445  >  49670 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
48,0.781197,2024-08-15 00:09:00.781,10.8.15.133,10.8.15.4,TCP,54,49670  >  445 [ACK] Seq=1 Ack=1 Win=262656 Len=0
49,0.799059,2024-08-15 00:09:00.799,10.8.15.133,10.8.15.4,SMB,127,Negotiate Protocol Request
50,0.799546,2024-08-15 00:09:00.799,10.8.15.4,10.8.15.133,SMB2,306,Negotiate Protocol Response
51,0.799724,2024-08-15 00:09:00.799,10.8.15.133,10.8.15.4,SMB2,382,Negotiate Protocol Request
52,0.800022,2024-08-15 00:09:00.800,10.8.15.4,10.8.15.133,SMB2,430,Negotiate Protocol Response
53,0.854665,2024-08-15 00:09:00.854,10.8.15.133,10.8.15.4,TCP,54,49670  >  445 [ACK] Seq=402 Ack=629 Win=262144 Len=0
54,1.058768,2024-08-15 00:09:01.058,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.133? (ARP Probe)
55,1.173944,2024-08-15 00:09:01.173,10.8.15.133,10.8.15.4,DNS,83,Standard query 0xd296 A wpad.lafontainebleu.org
56,1.174242,2024-08-15 00:09:01.174,10.8.15.4,10.8.15.133,DNS,164,Standard query response 0xd296 No such name A wpad.lafontainebleu.org SOA win-jegjix7q9rs.lafontainebleu.org
57,1.183796,2024-08-15 00:09:01.183,10.8.15.133,10.8.15.255,NBNS,110,Registration NB LAFONTAINEBLEU<00>
58,1.183936,2024-08-15 00:09:01.183,10.8.15.133,10.8.15.255,NBNS,110,Registration NB DESKTOP-H8ALZBV<00>
59,1.191808,2024-08-15 00:09:01.191,10.8.15.133,10.8.15.4,DNS,83,Standard query 0x238f A wpad.lafontainebleu.org
60,1.192079,2024-08-15 00:09:01.192,10.8.15.4,10.8.15.133,DNS,164,Standard query response 0x238f No such name A wpad.lafontainebleu.org SOA win-jegjix7q9rs.lafontainebleu.org
61,1.21787,2024-08-15 00:09:01.217,10.8.15.133,10.8.15.4,DNS,83,Standard query 0xf65f A www.msftconnecttest.com
62,1.26031,2024-08-15 00:09:01.260,10.8.15.4,10.8.15.133,DNS,227,Standard query response 0xf65f A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g2.akamai.net A 23.205.110.48 A 23.205.110.62
63,1.290524,2024-08-15 00:09:01.290,10.8.15.133,23.205.110.48,TCP,66,49671  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
64,1.319973,2024-08-15 00:09:01.319,23.205.110.48,10.8.15.133,TCP,58,"80  >  49671 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
65,1.320139,2024-08-15 00:09:01.320,10.8.15.133,23.205.110.48,TCP,54,49671  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
66,1.320472,2024-08-15 00:09:01.320,10.8.15.133,23.205.110.48,HTTP,165,GET /connecttest.txt HTTP/1.1 
67,1.32055,2024-08-15 00:09:01.320,23.205.110.48,10.8.15.133,TCP,54,80  >  49671 [ACK] Seq=1 Ack=112 Win=64240 Len=0
68,1.361053,2024-08-15 00:09:01.361,23.205.110.48,10.8.15.133,HTTP,241,HTTP/1.1 200 OK  (text/plain)
69,1.361218,2024-08-15 00:09:01.361,10.8.15.133,23.205.110.48,TCP,54,49671  >  80 [ACK] Seq=112 Ack=189 Win=64053 Len=0
70,1.373514,2024-08-15 00:09:01.373,10.8.15.133,23.205.110.48,TCP,54,"49671  >  80 [FIN, ACK] Seq=112 Ack=189 Win=64053 Len=0"
71,1.373654,2024-08-15 00:09:01.373,23.205.110.48,10.8.15.133,TCP,54,80  >  49671 [ACK] Seq=189 Ack=113 Win=64239 Len=0
72,1.500263,2024-08-15 00:09:01.500,10.8.15.133,10.8.15.4,DNS,76,Standard query 0x8ca2 A go.microsoft.com
73,1.540676,2024-08-15 00:09:01.540,10.8.15.4,10.8.15.133,DNS,171,Standard query response 0x8ca2 A go.microsoft.com CNAME go.microsoft.com.edgekey.net CNAME e11290.dspg.akamaiedge.net A 23.33.138.184
74,1.571317,2024-08-15 00:09:01.571,10.8.15.133,23.33.138.184,TCP,66,49672  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
75,1.63049,2024-08-15 00:09:01.630,23.33.138.184,10.8.15.133,TCP,58,"443  >  49672 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
76,1.630641,2024-08-15 00:09:01.630,10.8.15.133,23.33.138.184,TCP,54,49672  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
77,1.675321,2024-08-15 00:09:01.675,10.8.15.133,23.33.138.184,TLSv1.3,344,Client Hello (SNI=go.microsoft.com)
78,1.675467,2024-08-15 00:09:01.675,23.33.138.184,10.8.15.133,TCP,54,443  >  49672 [ACK] Seq=1 Ack=291 Win=64240 Len=0
79,1.732047,2024-08-15 00:09:01.732,23.33.138.184,10.8.15.133,TLSv1.3,1418,"Server Hello, Change Cipher Spec, Application Data"
80,1.738457,2024-08-15 00:09:01.738,23.33.138.184,10.8.15.133,TCP,1514,443  >  49672 [ACK] Seq=1365 Ack=291 Win=64240 Len=1460 [TCP PDU reassembled in 84]
81,1.73846,2024-08-15 00:09:01.738,23.33.138.184,10.8.15.133,TCP,1326,"443  >  49672 [PSH, ACK] Seq=2825 Ack=291 Win=64240 Len=1272 [TCP PDU reassembled in 84]"
82,1.746473,2024-08-15 00:09:01.746,10.8.15.133,23.33.138.184,TCP,54,49672  >  443 [ACK] Seq=291 Ack=4097 Win=64240 Len=0
83,1.782909,2024-08-15 00:09:01.782,23.33.138.184,10.8.15.133,TCP,1514,443  >  49672 [ACK] Seq=4097 Ack=291 Win=64240 Len=1460 [TCP PDU reassembled in 84]
84,1.782912,2024-08-15 00:09:01.782,23.33.138.184,10.8.15.133,TLSv1.3,551,"Application Data, Application Data, Application Data"
85,1.784868,2024-08-15 00:09:01.784,10.8.15.133,23.33.138.184,TCP,54,49672  >  443 [ACK] Seq=291 Ack=6054 Win=64240 Len=0
86,1.81207,2024-08-15 00:09:01.812,10.8.15.133,23.33.138.184,TLSv1.3,134,"Change Cipher Spec, Application Data"
87,1.812239,2024-08-15 00:09:01.812,23.33.138.184,10.8.15.133,TCP,54,443  >  49672 [ACK] Seq=6054 Ack=371 Win=64240 Len=0
88,1.816245,2024-08-15 00:09:01.816,10.8.15.133,23.33.138.184,TLSv1.3,423,Application Data
89,1.81629,2024-08-15 00:09:01.816,10.8.15.133,23.33.138.184,TLSv1.3,1496,Application Data
90,1.816318,2024-08-15 00:09:01.816,23.33.138.184,10.8.15.133,TCP,54,443  >  49672 [ACK] Seq=6054 Ack=740 Win=64240 Len=0
91,1.816391,2024-08-15 00:09:01.816,23.33.138.184,10.8.15.133,TCP,54,443  >  49672 [ACK] Seq=6054 Ack=2182 Win=64240 Len=0
92,1.870812,2024-08-15 00:09:01.870,23.33.138.184,10.8.15.133,TLSv1.3,628,"Application Data, Application Data"
93,1.879951,2024-08-15 00:09:01.879,23.33.138.184,10.8.15.133,TLSv1.3,799,Application Data
94,1.880134,2024-08-15 00:09:01.880,10.8.15.133,23.33.138.184,TCP,54,49672  >  443 [ACK] Seq=2182 Ack=7373 Win=62921 Len=0
95,1.881934,2024-08-15 00:09:01.881,23.33.138.184,10.8.15.133,TLSv1.3,78,Application Data
96,1.88216,2024-08-15 00:09:01.882,23.33.138.184,10.8.15.133,TCP,54,"443  >  49672 [FIN, PSH, ACK] Seq=7397 Ack=2182 Win=64240 Len=0"
97,1.884961,2024-08-15 00:09:01.884,10.8.15.133,23.33.138.184,TCP,54,49672  >  443 [ACK] Seq=2182 Ack=7398 Win=62897 Len=0
98,1.887208,2024-08-15 00:09:01.887,10.8.15.133,23.33.138.184,TLSv1.3,78,Application Data
99,1.88727,2024-08-15 00:09:01.887,10.8.15.133,23.33.138.184,TCP,54,"49672  >  443 [FIN, ACK] Seq=2206 Ack=7398 Win=62897 Len=0"
100,1.887289,2024-08-15 00:09:01.887,23.33.138.184,10.8.15.133,TCP,54,443  >  49672 [ACK] Seq=7398 Ack=2206 Win=64240 Len=0
101,1.887318,2024-08-15 00:09:01.887,23.33.138.184,10.8.15.133,TCP,54,443  >  49672 [ACK] Seq=7398 Ack=2207 Win=64239 Len=0
102,1.904872,2024-08-15 00:09:01.904,10.8.15.133,23.33.138.184,TCP,66,49673  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
103,1.935503,2024-08-15 00:09:01.935,10.8.15.133,10.8.15.255,NBNS,110,Registration NB LAFONTAINEBLEU<00>
104,1.935565,2024-08-15 00:09:01.935,10.8.15.133,10.8.15.255,NBNS,110,Registration NB DESKTOP-H8ALZBV<00>
105,1.954357,2024-08-15 00:09:01.954,23.33.138.184,10.8.15.133,TCP,58,"443  >  49673 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
106,1.965163,2024-08-15 00:09:01.965,10.8.15.133,23.33.138.184,TCP,54,49673  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
107,1.995298,2024-08-15 00:09:01.995,10.8.15.133,23.33.138.184,TLSv1.3,647,Client Hello (SNI=go.microsoft.com)
108,1.995452,2024-08-15 00:09:01.995,23.33.138.184,10.8.15.133,TCP,54,443  >  49673 [ACK] Seq=1 Ack=594 Win=64240 Len=0
109,2.056015,2024-08-15 00:09:02.056,23.33.138.184,10.8.15.133,TLSv1.3,324,"Server Hello, Change Cipher Spec, Application Data, Application Data"
110,2.114931,2024-08-15 00:09:02.114,10.8.15.133,10.8.15.4,DNS,130,Standard query 0xbe5f SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.lafontainebleu.org
111,2.115215,2024-08-15 00:09:02.115,10.8.15.4,10.8.15.133,DNS,200,Standard query response 0xbe5f SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.lafontainebleu.org SRV 0 100 389 win-jegjix7q9rs.lafontainebleu.org A 10.8.15.4
112,2.127924,2024-08-15 00:09:02.127,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.133? (ARP Probe)
113,2.128034,2024-08-15 00:09:02.128,10.8.15.133,23.33.138.184,TCP,54,49673  >  443 [ACK] Seq=594 Ack=271 Win=63970 Len=0
114,2.145622,2024-08-15 00:09:02.145,10.8.15.133,10.8.15.4,DNS,134,Standard query 0x2c47 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.lafontainebleu.org
115,2.145915,2024-08-15 00:09:02.145,10.8.15.4,10.8.15.133,DNS,204,Standard query response 0x2c47 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.lafontainebleu.org SRV 0 100 88 win-jegjix7q9rs.lafontainebleu.org A 10.8.15.4
116,2.147297,2024-08-15 00:09:02.147,10.8.15.133,23.33.138.184,TLSv1.3,134,"Change Cipher Spec, Application Data"
117,2.147427,2024-08-15 00:09:02.147,23.33.138.184,10.8.15.133,TCP,54,443  >  49673 [ACK] Seq=271 Ack=674 Win=64240 Len=0
118,2.14752,2024-08-15 00:09:02.147,10.8.15.133,23.33.138.184,TLSv1.3,423,Application Data
119,2.147561,2024-08-15 00:09:02.147,10.8.15.133,23.33.138.184,TLSv1.3,1500,Application Data
120,2.147584,2024-08-15 00:09:02.147,23.33.138.184,10.8.15.133,TCP,54,443  >  49673 [ACK] Seq=271 Ack=1043 Win=64240 Len=0
121,2.147643,2024-08-15 00:09:02.147,23.33.138.184,10.8.15.133,TCP,54,443  >  49673 [ACK] Seq=271 Ack=2489 Win=64240 Len=0
122,2.149377,2024-08-15 00:09:02.149,10.8.15.133,10.8.15.4,CLDAP,319,"searchRequest(1) ""<ROOT>"" baseObject "
123,2.149763,2024-08-15 00:09:02.149,10.8.15.4,10.8.15.133,CLDAP,265,"searchResEntry(1) ""<ROOT>"" searchResDone(1) success  [6 results]"
124,2.171895,2024-08-15 00:09:02.171,10.8.15.133,10.8.15.4,DNS,134,Standard query 0xe024 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.lafontainebleu.org
125,2.17214,2024-08-15 00:09:02.172,10.8.15.4,10.8.15.133,DNS,204,Standard query response 0xe024 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.lafontainebleu.org SRV 0 100 88 win-jegjix7q9rs.lafontainebleu.org A 10.8.15.4
126,2.17225,2024-08-15 00:09:02.172,10.8.15.133,10.8.15.4,CLDAP,316,"searchRequest(2) ""<ROOT>"" baseObject "
127,2.172362,2024-08-15 00:09:02.172,10.8.15.133,10.8.15.4,CLDAP,273,"searchRequest(3) ""<ROOT>"" baseObject "
128,2.172568,2024-08-15 00:09:02.172,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(2) ""<ROOT>"" searchResDone(2) success  [6 results]"
129,2.172569,2024-08-15 00:09:02.172,10.8.15.133,10.8.15.4,CLDAP,272,"searchRequest(4) ""<ROOT>"" baseObject "
130,2.172613,2024-08-15 00:09:02.172,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(3) ""<ROOT>"" searchResDone(3) success  [6 results]"
131,2.172763,2024-08-15 00:09:02.172,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(4) ""<ROOT>"" searchResDone(4) success  [6 results]"
132,2.19156,2024-08-15 00:09:02.191,10.8.15.133,10.8.15.4,CLDAP,272,"searchRequest(5) ""<ROOT>"" baseObject "
133,2.191851,2024-08-15 00:09:02.191,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(5) ""<ROOT>"" searchResDone(5) success  [6 results]"
134,2.218779,2024-08-15 00:09:02.218,23.33.138.184,10.8.15.133,TLSv1.3,1110,"Application Data, Application Data, Application Data"
135,2.222533,2024-08-15 00:09:02.222,10.8.15.133,23.33.138.184,TCP,54,49673  >  443 [ACK] Seq=2489 Ack=1328 Win=62914 Len=0
136,2.257577,2024-08-15 00:09:02.257,10.8.15.133,10.8.15.4,CLDAP,273,"searchRequest(6) ""<ROOT>"" baseObject "
137,2.257901,2024-08-15 00:09:02.257,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(6) ""<ROOT>"" searchResDone(6) success  [6 results]"
138,2.286365,2024-08-15 00:09:02.286,10.8.15.133,10.8.15.4,TCP,66,49676  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
139,2.286599,2024-08-15 00:09:02.286,10.8.15.4,10.8.15.133,TCP,66,"88  >  49676 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
140,2.28724,2024-08-15 00:09:02.287,10.8.15.133,10.8.15.4,TCP,66,49677  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
141,2.28754,2024-08-15 00:09:02.287,10.8.15.4,10.8.15.133,TCP,66,"135  >  49677 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
142,2.287757,2024-08-15 00:09:02.287,10.8.15.133,10.8.15.4,TCP,66,49678  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
143,2.288017,2024-08-15 00:09:02.288,10.8.15.4,10.8.15.133,TCP,66,"135  >  49678 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
144,2.290228,2024-08-15 00:09:02.290,10.8.15.133,23.33.138.184,TLSv1.3,78,Application Data
145,2.290256,2024-08-15 00:09:02.290,10.8.15.133,23.33.138.184,TCP,54,"49673  >  443 [FIN, ACK] Seq=2513 Ack=1328 Win=62914 Len=0"
146,2.290349,2024-08-15 00:09:02.290,23.33.138.184,10.8.15.133,TCP,54,443  >  49673 [ACK] Seq=1328 Ack=2513 Win=64240 Len=0
147,2.290381,2024-08-15 00:09:02.290,23.33.138.184,10.8.15.133,TCP,54,443  >  49673 [ACK] Seq=1328 Ack=2514 Win=64239 Len=0
148,2.295137,2024-08-15 00:09:02.295,10.8.15.133,10.8.15.4,TCP,54,49676  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=0
149,2.295161,2024-08-15 00:09:02.295,10.8.15.133,10.8.15.4,TCP,54,49677  >  135 [ACK] Seq=1 Ack=1 Win=262656 Len=0
150,2.295199,2024-08-15 00:09:02.295,10.8.15.133,10.8.15.4,TCP,54,49678  >  135 [ACK] Seq=1 Ack=1 Win=262656 Len=0
151,2.29539,2024-08-15 00:09:02.295,10.8.15.133,10.8.15.4,KRB5,306,AS-REQ
152,2.295832,2024-08-15 00:09:02.295,10.8.15.4,10.8.15.133,KRB5,294,KRB Error: KRB5KDC_ERR_PREAUTH_REQUIRED
153,2.296163,2024-08-15 00:09:02.296,10.8.15.133,10.8.15.4,TCP,54,"49676  >  88 [FIN, ACK] Seq=253 Ack=241 Win=262400 Len=0"
154,2.296266,2024-08-15 00:09:02.296,10.8.15.133,10.8.15.4,DCERPC,214,"Bind: call_id: 2, Fragment: Single, 3 context items: EPMv4 V3.0 (32bit NDR), EPMv4 V3.0 (64bit NDR), EPMv4 V3.0 (6cb71c2c-9812-4540-0300-000000000000)"
155,2.296306,2024-08-15 00:09:02.296,10.8.15.4,10.8.15.133,TCP,54,88  >  49676 [ACK] Seq=241 Ack=254 Win=2097664 Len=0
156,2.296439,2024-08-15 00:09:02.296,10.8.15.4,10.8.15.133,TCP,54,"88  >  49676 [RST, ACK] Seq=241 Ack=254 Win=0 Len=0"
157,2.296517,2024-08-15 00:09:02.296,10.8.15.4,10.8.15.133,DCERPC,162,"Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 3 results: Provider rejection, Acceptance, Negotiate ACK"
158,2.301058,2024-08-15 00:09:02.301,10.8.15.133,10.8.15.4,EPM,222,"Map request, DRSUAPI, 32bit NDR"
159,2.301099,2024-08-15 00:09:02.301,10.8.15.133,10.8.15.4,DCERPC,214,"Bind: call_id: 3, Fragment: Single, 2 context items: EPMv4 V3.0 (32bit NDR), EPMv4 V3.0 (64bit NDR)"
160,2.301229,2024-08-15 00:09:02.301,10.8.15.4,10.8.15.133,DCERPC,138,"Bind_ack: call_id: 3, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Provider rejection, Acceptance"
161,2.301255,2024-08-15 00:09:02.301,10.8.15.133,10.8.15.4,TCP,66,49679  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
162,2.30139,2024-08-15 00:09:02.301,10.8.15.4,10.8.15.133,TCP,66,"88  >  49679 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
163,2.301547,2024-08-15 00:09:02.301,10.8.15.4,10.8.15.133,EPM,322,"Map response, DRSUAPI, 32bit NDR, DRSUAPI, 32bit NDR"
164,2.305287,2024-08-15 00:09:02.305,10.8.15.133,10.8.15.4,TCP,66,49680  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
165,2.305432,2024-08-15 00:09:02.305,10.8.15.4,10.8.15.133,TCP,66,"88  >  49680 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
166,2.305799,2024-08-15 00:09:02.305,10.8.15.133,10.8.15.4,KRB5,306,AS-REQ
167,2.305816,2024-08-15 00:09:02.305,10.8.15.133,10.8.15.4,TCP,54,49680  >  88 [ACK] Seq=1 Ack=1 Win=262656 Len=0
168,2.306025,2024-08-15 00:09:02.306,10.8.15.133,10.8.15.4,EPM,222,"Map request, RPC_NETLOGON, 32bit NDR"
169,2.306082,2024-08-15 00:09:02.306,10.8.15.133,10.8.15.4,KRB5,386,AS-REQ
170,2.306838,2024-08-15 00:09:02.306,10.8.15.4,10.8.15.133,KRB5,294,KRB Error: KRB5KDC_ERR_PREAUTH_REQUIRED
171,2.307166,2024-08-15 00:09:02.307,10.8.15.4,10.8.15.133,EPM,418,"Map response, RPC_NETLOGON, 32bit NDR, RPC_NETLOGON, 32bit NDR, RPC_NETLOGON, 32bit NDR"
172,2.307308,2024-08-15 00:09:02.307,10.8.15.4,10.8.15.133,TCP,1514,88  >  49680 [ACK] Seq=1 Ack=333 Win=2097664 Len=1460 [TCP PDU reassembled in 173]
